Start,End,Open,High,Low,Close,Volume,Market Cap
2024-06-08,2024-06-09,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-06-07,2024-06-08,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-06-06,2024-06-07,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-06-05,2024-06-06,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-06-04,2024-06-05,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-06-03,2024-06-04,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-06-02,2024-06-03,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-06-01,2024-06-02,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-31,2024-06-01,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-30,2024-05-31,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-29,2024-05-30,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-28,2024-05-29,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-27,2024-05-28,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-26,2024-05-27,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-25,2024-05-26,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-24,2024-05-25,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-23,2024-05-24,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-22,2024-05-23,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-21,2024-05-22,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-20,2024-05-21,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-19,2024-05-20,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-18,2024-05-19,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-17,2024-05-18,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-16,2024-05-17,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-15,2024-05-16,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-14,2024-05-15,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-13,2024-05-14,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-12,2024-05-13,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-11,2024-05-12,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-10,2024-05-11,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-09,2024-05-10,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-08,2024-05-09,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-07,2024-05-08,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-06,2024-05-07,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-05,2024-05-06,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-04,2024-05-05,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-03,2024-05-04,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-02,2024-05-03,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-05-01,2024-05-02,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-30,2024-05-01,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-29,2024-04-30,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-28,2024-04-29,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-27,2024-04-28,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-26,2024-04-27,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-25,2024-04-26,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-24,2024-04-25,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-23,2024-04-24,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-22,2024-04-23,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-21,2024-04-22,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-20,2024-04-21,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-19,2024-04-20,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-18,2024-04-19,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-17,2024-04-18,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-16,2024-04-17,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-15,2024-04-16,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-14,2024-04-15,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-13,2024-04-14,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-12,2024-04-13,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-11,2024-04-12,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-10,2024-04-11,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-09,2024-04-10,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-08,2024-04-09,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-07,2024-04-08,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-06,2024-04-07,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-05,2024-04-06,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-04,2024-04-05,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-03,2024-04-04,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-02,2024-04-03,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-04-01,2024-04-02,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-31,2024-04-01,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-30,2024-03-31,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-29,2024-03-30,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-28,2024-03-29,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-27,2024-03-28,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-26,2024-03-27,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-25,2024-03-26,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-24,2024-03-25,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-23,2024-03-24,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-22,2024-03-23,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-21,2024-03-22,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-20,2024-03-21,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-19,2024-03-20,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-18,2024-03-19,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-17,2024-03-18,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-16,2024-03-17,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-15,2024-03-16,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-14,2024-03-15,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-13,2024-03-14,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-12,2024-03-13,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-11,2024-03-12,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-10,2024-03-11,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-09,2024-03-10,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-08,2024-03-09,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-07,2024-03-08,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-06,2024-03-07,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-05,2024-03-06,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-04,2024-03-05,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-03,2024-03-04,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-02,2024-03-03,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-03-01,2024-03-02,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-29,2024-03-01,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-28,2024-02-29,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-27,2024-02-28,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-26,2024-02-27,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-25,2024-02-26,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-24,2024-02-25,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-23,2024-02-24,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-22,2024-02-23,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-21,2024-02-22,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-20,2024-02-21,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-19,2024-02-20,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-18,2024-02-19,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-17,2024-02-18,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-16,2024-02-17,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-15,2024-02-16,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-14,2024-02-15,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-13,2024-02-14,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-12,2024-02-13,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-11,2024-02-12,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-10,2024-02-11,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-09,2024-02-10,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-08,2024-02-09,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-07,2024-02-08,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-06,2024-02-07,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-05,2024-02-06,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-04,2024-02-05,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-03,2024-02-04,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-02,2024-02-03,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-02-01,2024-02-02,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-01-31,2024-02-01,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-01-30,2024-01-31,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-01-29,2024-01-30,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-01-28,2024-01-29,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-01-27,2024-01-28,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-01-26,2024-01-27,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-01-25,2024-01-26,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-01-24,2024-01-25,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-01-23,2024-01-24,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-01-22,2024-01-23,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-01-21,2024-01-22,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
2024-01-20,2024-01-21,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0.00035326200304552913,0,0
